Detector Part,Silicon Absorption Probability,Mount Absorption Probability,Average eta Phonon,Standard Deviation
Feedline,0.011,0.1,0.898796,0.81354
Mount,0.011,0.1,0.677141,0.597702
Inductor,0.001,0.12,1.17678,0.930767
Silicon,0.001,0.12,42.6686,1.92013
Capacitor,0.001,0.12,0.547622,0.551329
Feedline,0.001,0.12,2.53993,1.0506
Mount,0.001,0.12,13.0527,1.73445
Inductor,0.003,0.12,0.881179,0.714442
Silicon,0.003,0.12,52.631,1.96604
Capacitor,0.003,0.12,0.439826,0.48592
Feedline,0.003,0.12,1.64756,1.11938
Mount,0.003,0.12,4.39592,1.12806
Inductor,0.005,0.12,1.07374,0.918759
Silicon,0.005,0.12,55.1322,1.21772
Capacitor,0.005,0.12,0.346473,0.423823
Feedline,0.005,0.12,1.18479,0.880562
Mount,0.005,0.12,2.2608,0.78781
Inductor,0.007,0.12,1.01936,0.96025
Silicon,0.007,0.12,56.3281,1.41657
Capacitor,0.007,0.12,0.171579,0.343907
Feedline,0.007,0.12,1.06188,0.988181
Mount,0.007,0.12,1.41647,0.63921
Inductor,0.009,0.12,0.800012,0.763033
Silicon,0.009,0.12,56.7682,1.57843
Capacitor,0.009,0.12,0.293231,0.479345
Feedline,0.009,0.12,1.16015,1.15996
Mount,0.009,0.12,0.978449,0.704961
Inductor,0.011,0.12,0.82528,0.92567
Silicon,0.011,0.12,57.2917,1.3642
Capacitor,0.011,0.12,0.234814,0.466266
Feedline,0.011,0.12,0.894603,0.861261
Mount,0.011,0.12,0.75036,0.475017
Inductor,0.001,0.14,1.25118,1.02112
Silicon,0.001,0.14,41.6397,2.54283
Capacitor,0.001,0.14,0.374805,0.424573
Feedline,0.001,0.14,2.66978,0.976516
Mount,0.001,0.14,14.0565,1.92762
Inductor,0.003,0.14,1.13007,1.05312
Silicon,0.003,0.14,52.1786,1.84873
Capacitor,0.003,0.14,0.373892,0.429935
Feedline,0.003,0.14,1.3063,0.869596
Mount,0.003,0.14,5.00642,1.20571
Inductor,0.005,0.14,1.10211,1.03022
Silicon,0.005,0.14,54.9399,1.70273
Capacitor,0.005,0.14,0.339135,0.464607
Feedline,0.005,0.14,1.16051,0.954594
Mount,0.005,0.14,2.45627,1.02701
Inductor,0.007,0.14,1.02456,0.867006
Silicon,0.007,0.14,56.0223,1.34831
Capacitor,0.007,0.14,0.265337,0.509151
Feedline,0.007,0.14,0.989935,0.812481
Mount,0.007,0.14,1.69589,0.651202
Inductor,0.009,0.14,0.862974,0.911506
Silicon,0.009,0.14,56.6587,1.25976
Capacitor,0.009,0.14,0.245393,0.45994
Feedline,0.009,0.14,1.09491,0.868118
Mount,0.009,0.14,1.13467,0.620421
Inductor,0.011,0.14,0.957556,1.05122
Silicon,0.011,0.14,57.2677,1.38636
Capacitor,0.011,0.14,0.205219,0.422822
Feedline,0.011,0.14,0.773159,0.829668
Mount,0.011,0.14,0.794864,0.565576
Inductor,0.001,0.16,1.48501,0.98078
Silicon,0.001,0.16,40.7013,1.98682
Capacitor,0.001,0.16,0.454848,0.504314
Feedline,0.001,0.16,2.60611,1.01413
Mount,0.001,0.16,14.7414,1.95376
Inductor,0.003,0.16,1.07009,0.963943
Silicon,0.003,0.16,52.0307,1.99957
Capacitor,0.003,0.16,0.200339,0.338046
Feedline,0.003,0.16,1.26694,0.94134
Mount,0.003,0.16,5.42639,1.54274
Inductor,0.005,0.16,1.14463,1.07388
Silicon,0.005,0.16,54.4598,1.93526
Capacitor,0.005,0.16,0.187374,0.35128
Feedline,0.005,0.16,1.23216,0.825255
Mount,0.005,0.16,2.96994,1.26223
Inductor,0.007,0.16,1.11833,0.917376
Silicon,0.007,0.16,55.6143,1.38451
Capacitor,0.007,0.16,0.299071,0.446429
Feedline,0.007,0.16,1.10164,0.936083
Mount,0.007,0.16,1.86394,0.79939
Inductor,0.009,0.16,0.861452,0.907464
Silicon,0.009,0.16,56.9414,1.43887
Capacitor,0.009,0.16,0.287469,0.50812
Feedline,0.009,0.16,0.837197,0.759596
Mount,0.009,0.16,1.07045,0.639773
Inductor,0.011,0.16,0.80346,0.707189
Silicon,0.011,0.16,56.9935,1.2121
Capacitor,0.011,0.16,0.267415,0.455304
Feedline,0.011,0.16,0.911973,0.841853
Mount,0.011,0.16,1.02137,0.533745
Inductor,0.001,0.18,1.1501,1.00546
Silicon,0.001,0.18,40.0281,2.34503
Capacitor,0.001,0.18,0.292623,0.381415
Feedline,0.001,0.18,2.43835,1.22108
Mount,0.001,0.18,16.0836,1.96378
Inductor,0.003,0.18,1.26766,1.09543
Silicon,0.003,0.18,51.5623,1.99916
Capacitor,0.003,0.18,0.256797,0.437306
Feedline,0.003,0.18,1.31443,0.963793
Mount,0.003,0.18,5.5951,1.50785
Inductor,0.005,0.18,0.919997,0.771582
Silicon,0.005,0.18,54.4528,1.80734
Capacitor,0.005,0.18,0.216967,0.431862
Feedline,0.005,0.18,1.15217,0.9222
Mount,0.005,0.18,3.25255,1.02808
Inductor,0.007,0.18,1.07252,1.09516
Silicon,0.007,0.18,55.6083,1.52905
Capacitor,0.007,0.18,0.280797,0.395418
Feedline,0.007,0.18,1.10587,0.917407
Mount,0.007,0.18,1.92845,0.87495
Inductor,0.009,0.18,0.890205,0.921854
Silicon,0.009,0.18,56.5647,1.52736
Capacitor,0.009,0.18,0.325167,0.469565
Feedline,0.009,0.18,0.905403,0.972432
Mount,0.009,0.18,1.31257,0.662243
Inductor,0.011,0.18,0.648067,0.670071
Silicon,0.011,0.18,57.4496,1.37139
Capacitor,0.011,0.18,0.212884,0.415222
Feedline,0.011,0.18,0.75075,0.890178
Mount,0.011,0.18,0.935772,0.666685
Inductor,0.001,0.2,1.15382,0.862128
Silicon,0.001,0.2,39.7944,2.20167
Capacitor,0.001,0.2,0.423433,0.478725
Feedline,0.001,0.2,2.37781,0.971501
Mount,0.001,0.2,16.2414,2.00313
Inductor,0.003,0.2,1.0134,1.00506
Silicon,0.003,0.2,51.1238,2.14664
Capacitor,0.003,0.2,0.253963,0.384568
Feedline,0.003,0.2,1.51934,1.21262
Mount,0.003,0.2,6.08591,1.43555
Inductor,0.005,0.2,1.00205,0.778448
Silicon,0.005,0.2,54.3614,1.85199
