Detector Part,Silicon Absorption Probability,Mount Absorption Probability,Average eta Phonon,Standard Deviation
Silicon,0.003,0.8,45.8197,2.56731
Capacitor,0.003,0.8,0.235674,0.346431
Feedline,0.003,0.8,1.62248,0.947861
Mount,0.003,0.8,11.3472,2.01274
Inductor,0.005,0.8,0.969297,0.831465
Silicon,0.005,0.8,50.9078,2.12891
Capacitor,0.005,0.8,0.3132,0.57641
Feedline,0.005,0.8,1.20516,1.14235
Mount,0.005,0.8,6.60106,1.31484
Inductor,0.007,0.8,1.11142,0.906127
Silicon,0.007,0.8,53.2508,1.61182
Capacitor,0.007,0.8,0.250333,0.43825
Feedline,0.007,0.8,1.29803,0.957684
Mount,0.007,0.8,4.08601,1.23029
Inductor,0.009,0.8,0.903099,0.942277
Silicon,0.009,0.8,54.7398,1.89906
Capacitor,0.009,0.8,0.166785,0.347428
Feedline,0.009,0.8,0.798614,0.787446
Mount,0.009,0.8,3.38819,1.39167
Inductor,0.011,0.8,0.771182,0.791725
Silicon,0.011,0.8,55.6259,1.63845
Capacitor,0.011,0.8,0.271646,0.386982
Feedline,0.011,0.8,0.847576,0.749366
Mount,0.011,0.8,2.48138,0.977125
Inductor,0.001,0.82,1.21152,1.09587
Silicon,0.001,0.82,30.1174,2.31587
Capacitor,0.001,0.82,0.289546,0.466339
Feedline,0.001,0.82,1.92139,0.901566
Mount,0.001,0.82,26.4518,2.1605
Inductor,0.003,0.82,1.19779,1.2099
Silicon,0.003,0.82,45.2106,2.10019
Capacitor,0.003,0.82,0.357396,0.510866
Feedline,0.003,0.82,1.69284,1.00855
Mount,0.003,0.82,11.5356,2.00118
Inductor,0.005,0.82,1.01947,1.05729
Silicon,0.005,0.82,50.7632,1.90959
Capacitor,0.005,0.82,0.266785,0.511402
Feedline,0.005,0.82,1.47633,1.10103
Mount,0.005,0.82,6.46756,1.48552
Inductor,0.007,0.82,1.03429,1.0359
Silicon,0.007,0.82,52.9885,1.62666
Capacitor,0.007,0.82,0.294086,0.486535
Feedline,0.007,0.82,0.882248,0.748844
Mount,0.007,0.82,4.79908,1.16319
Inductor,0.009,0.82,0.716707,0.727027
Silicon,0.009,0.82,54.7532,1.70412
Capacitor,0.009,0.82,0.228286,0.361303
Feedline,0.009,0.82,1.02064,0.911322
Mount,0.009,0.82,3.27721,1.38254
Inductor,0.011,0.82,0.763804,0.851577
Silicon,0.011,0.82,55.7801,1.51163
Capacitor,0.011,0.82,0.210605,0.389019
Feedline,0.011,0.82,0.888589,0.84062
Mount,0.011,0.82,2.35288,0.993162
Inductor,0.001,0.84,1.22317,0.805919
Silicon,0.001,0.84,29.5049,2.30845
Capacitor,0.001,0.84,0.428167,0.590567
Feedline,0.001,0.84,2.16915,1.25246
Mount,0.001,0.84,26.6671,2.4195
Inductor,0.003,0.84,0.855947,0.703579
Silicon,0.003,0.84,45.4322,1.93842
Capacitor,0.003,0.84,0.330054,0.451092
Feedline,0.003,0.84,1.41534,0.908371
Mount,0.003,0.84,11.9596,1.69381
Inductor,0.005,0.84,0.731083,0.82149
Silicon,0.005,0.84,51.2753,1.8316
Capacitor,0.005,0.84,0.230324,0.396682
Feedline,0.005,0.84,1.13283,1.07836
Mount,0.005,0.84,6.62471,1.58384
Inductor,0.007,0.84,1.06085,1.04937
Silicon,0.007,0.84,53.2418,1.79382
Capacitor,0.007,0.84,0.190325,0.393664
Feedline,0.007,0.84,0.946297,0.791441
Mount,0.007,0.84,4.55853,1.3558
Inductor,0.009,0.84,0.972638,0.832131
Silicon,0.009,0.84,54.7818,1.90862
Capacitor,0.009,0.84,0.326704,0.441185
Feedline,0.009,0.84,0.720311,0.765533
Mount,0.009,0.84,3.19423,1.07711
Inductor,0.011,0.84,0.613979,0.703656
Silicon,0.011,0.84,56.0032,1.54661
Capacitor,0.011,0.84,0.29663,0.501404
Feedline,0.011,0.84,0.732668,0.823962
Mount,0.011,0.84,2.35096,0.931228
Inductor,0.001,0.86,1.13184,1.08165
Silicon,0.001,0.86,28.8973,2.35097
Capacitor,0.001,0.86,0.403404,0.469094
Feedline,0.001,0.86,2.14503,1.01384
Mount,0.001,0.86,27.4138,2.10074
Inductor,0.003,0.86,1.11918,0.886551
Silicon,0.003,0.86,44.7636,2.15658
Capacitor,0.003,0.86,0.342546,0.452278
Feedline,0.003,0.86,1.63744,1.10206
Mount,0.003,0.86,12.1306,1.78577
Inductor,0.005,0.86,0.809969,0.789518
Silicon,0.005,0.86,50.9298,2.20135
Capacitor,0.005,0.86,0.359596,0.495823
Feedline,0.005,0.86,1.10657,0.96769
Mount,0.005,0.86,6.7892,1.69591
Inductor,0.007,0.86,1.01303,0.953385
Silicon,0.007,0.86,53.0791,1.63061
Capacitor,0.007,0.86,0.241696,0.53683
Feedline,0.007,0.86,1.11549,0.866929
Mount,0.007,0.86,4.5492,1.05293
Inductor,0.009,0.86,0.889434,0.813305
Silicon,0.009,0.86,54.3795,1.9523
Capacitor,0.009,0.86,0.341026,0.488799
Feedline,0.009,0.86,0.98783,0.83419
Mount,0.009,0.86,3.39936,1.45433
Inductor,0.011,0.86,0.90582,0.88784
Silicon,0.011,0.86,55.6988,1.56996
Capacitor,0.011,0.86,0.219728,0.348949
Feedline,0.011,0.86,0.89728,0.914531
Mount,0.011,0.86,2.27604,1.1129
Inductor,0.001,0.88,1.3463,0.980834
Silicon,0.001,0.88,29.1579,2.36475
Capacitor,0.001,0.88,0.400981,0.444239
Feedline,0.001,0.88,1.90131,1.28494
Mount,0.001,0.88,27.1835,2.17485
Inductor,0.003,0.88,1.0002,1.01485
Silicon,0.003,0.88,45.2866,2.32942
Capacitor,0.003,0.88,0.405696,0.609912
Feedline,0.003,0.88,1.56294,1.02366
Mount,0.003,0.88,11.7414,1.98025
Inductor,0.005,0.88,0.856901,0.892617
Silicon,0.005,0.88,50.803,1.86061
Capacitor,0.005,0.88,0.32774,0.436886
Feedline,0.005,0.88,1.09821,0.798837
Mount,0.005,0.88,6.90445,1.64476
Inductor,0.007,0.88,0.97337,0.95458
Silicon,0.007,0.88,53.1082,1.89208
Capacitor,0.007,0.88,0.201682,0.418864
Feedline,0.007,0.88,1.04187,0.842262
Mount,0.007,0.88,4.67368,1.22697
Inductor,0.009,0.88,0.74443,0.667223
Silicon,0.009,0.88,54.9002,1.82543
Capacitor,0.009,0.88,0.245388,0.412301
Feedline,0.009,0.88,0.883407,0.86232
Mount,0.009,0.88,3.22527,1.07617
Inductor,0.011,0.88,0.767562,0.726579
Silicon,0.011,0.88,55.6035,1.67806
Capacitor,0.011,0.88,0.180451,0.466975
Feedline,0.011,0.88,0.903042,0.852375
Mount,0.011,0.88,2.54166,1.10669
Inductor,0.001,0.9,1.18582,1.0468
Silicon,0.001,0.9,28.8145,2.31722
Capacitor,0.001,0.9,0.320169,0.477201
Feedline,0.001,0.9,1.97871,0.97245
Mount,0.001,0.9,27.6933,2.59853
Inductor,0.003,0.9,1.1304,0.866927
Silicon,0.003,0.9,44.4373,2.07515
Capacitor,0.003,0.9,0.166661,0.336464
Feedline,0.003,0.9,1.4956,0.85612
Mount,0.003,0.9,12.7676,1.83554
Inductor,0.005,0.9,0.891735,1.00251
Silicon,0.005,0.9,50.2181,1.91328
Capacitor,0.005,0.9,0.245262,0.413143
Feedline,0.005,0.9,1.18242,0.806161
Mount,0.005,0.9,7.45859,1.63587
Inductor,0.007,0.9,1.05647,1.11451
Silicon,0.007,0.9,52.9174,1.52363
Capacitor,0.007,0.9,0.161327,0.303136
Feedline,0.007,0.9,1.01607,0.84669
Mount,0.007,0.9,4.84758,1.33371
Inductor,0.009,0.9,0.830995,0.782744
Silicon,0.009,0.9,54.7926,1.62474
Capacitor,0.009,0.9,0.217977,0.359468
Feedline,0.009,0.9,1.06324,0.833521
Mount,0.009,0.9,3.09433,0.967242
Inductor,0.011,0.9,0.76261,0.790334
Silicon,0.011,0.9,55.8368,1.2397
Capacitor,0.011,0.9,0.253912,0.430445
Feedline,0.011,0.9,0.785017,0.707768
Mount,0.011,0.9,2.35833,1.03115
Inductor,0.001,0.92,1.20163,0.911051
Silicon,0.001,0.92,28.6865,2.16112
Capacitor,0.001,0.92,0.316091,0.411458
Feedline,0.001,0.92,2.17041,1.37464
Mount,0.001,0.92,27.6145,2.33873
Inductor,0.003,0.92,0.915762,0.672496
Silicon,0.003,0.92,45.0059,1.95795
Capacitor,0.003,0.92,0.11744,0.243998
Feedline,0.003,0.92,1.48756,0.834764
Mount,0.003,0.92,12.4691,1.59731
Inductor,0.005,0.92,0.879727,0.895984
Silicon,0.005,0.92,50.7971,1.94337
Capacitor,0.005,0.92,0.273914,0.496532
Feedline,0.005,0.92,1.06121,0.736278
Mount,0.005,0.92,6.98169,1.39095
Inductor,0.007,0.92,1.05712,1.04158
Silicon,0.007,0.92,52.9497,1.92388
Capacitor,0.007,0.92,0.243452,0.407025
Feedline,0.007,0.92,1.25162,0.879973
Mount,0.007,0.92,4.49459,1.22934
Inductor,0.009,0.92,0.751885,0.807338
Silicon,0.009,0.92,54.9954,1.8697
Capacitor,0.009,0.92,0.220844,0.371149
Feedline,0.009,0.92,0.906237,0.772044
Mount,0.009,0.92,3.12432,1.06792
Inductor,0.011,0.92,0.999363,0.840791
Silicon,0.011,0.92,55.5408,1.56707
Capacitor,0.011,0.92,0.193588,0.396448
Feedline,0.011,0.92,0.977755,0.965911
Mount,0.011,0.92,2.28655,0.917752
Inductor,0.001,0.94,1.21487,1.00762
Silicon,0.001,0.94,28.3223,2.55266
Capacitor,0.001,0.94,0.364796,0.510298
Feedline,0.001,0.94,2.06081,1.12634
Mount,0.001,0.94,28.0288,2.33515
Inductor,0.003,0.94,0.900409,0.88745
Silicon,0.003,0.94,45.1455,2.26331
Capacitor,0.003,0.94,0.249197,0.363498
Feedline,0.003,0.94,1.43298,0.90498
Mount,0.003,0.94,12.2673,2.07538
Inductor,0.005,0.94,0.98749,0.987542
Silicon,0.005,0.94,50.8799,2.043
Capacitor,0.005,0.94,0.27007,0.567288
Feedline,0.005,0.94,1.11695,0.8496
Mount,0.005,0.94,6.7431,1.43375
Inductor,0.007,0.94,0.980497,1.01017
Silicon,0.007,0.94,52.7268,1.86243
Capacitor,0.007,0.94,0.348069,0.542812
Feedline,0.007,0.94,1.15849,0.839204
Mount,0.007,0.94,4.78208,1.3084
Inductor,0.009,0.94,0.641345,0.783614
Silicon,0.009,0.94,55.2787,1.67379
Capacitor,0.009,0.94,0.272041,0.498353
Feedline,0.009,0.94,0.744183,0.762433
Mount,0.009,0.94,3.06097,0.988265
Inductor,0.011,0.94,0.902808,0.868844
Silicon,0.011,0.94,55.4636,1.58256
Capacitor,0.011,0.94,0.172381,0.346869
Feedline,0.011,0.94,0.778391,0.765906
Mount,0.011,0.94,2.67839,1.2711
Inductor,0.001,0.96,1.27698,1.05537
Silicon,0.001,0.96,28.6231,2.7192
Capacitor,0.001,0.96,0.381378,0.544726
Feedline,0.001,0.96,2.38796,1.27265
Mount,0.001,0.96,27.3225,2.21142
Inductor,0.003,0.96,0.870719,0.922261
Silicon,0.003,0.96,45.0283,2.24889
Capacitor,0.003,0.96,0.258211,0.453783
Feedline,0.003,0.96,1.3457,0.94713
Mount,0.003,0.96,12.4937,2.16038
Inductor,0.005,0.96,0.668674,0.78802
Silicon,0.005,0.96,50.3023,1.92682
Capacitor,0.005,0.96,0.288246,0.520298
Feedline,0.005,0.96,1.15212,0.890424
Mount,0.005,0.96,7.5853,1.49457
Inductor,0.007,0.96,1.15229,0.852382
Silicon,0.007,0.96,52.5616,1.87132
Capacitor,0.007,0.96,0.338467,0.488485
Feedline,0.007,0.96,1.21747,0.957271
Mount,0.007,0.96,4.72629,1.15455
Inductor,0.009,0.96,1.08363,0.986971
Silicon,0.009,0.96,54.343,1.64851
Capacitor,0.009,0.96,0.237836,0.370357
Feedline,0.009,0.96,0.950478,0.868793
Mount,0.009,0.96,3.38195,1.13474
Inductor,0.011,0.96,0.616737,0.642057
Silicon,0.011,0.96,55.5846,1.51548
Capacitor,0.011,0.96,0.186303,0.363156
Feedline,0.011,0.96,0.885156,0.760439
Mount,0.011,0.96,2.72322,0.995338
Inductor,0.001,0.98,1.03703,0.96164
Silicon,0.001,0.98,28.3461,2.52284
Capacitor,0.001,0.98,0.26467,0.406927
Feedline,0.001,0.98,2.60675,1.47926
Mount,0.001,0.98,27.7395,2.24043
Inductor,0.003,0.98,0.821743,0.762882
Silicon,0.003,0.98,45.0644,2.15301
Capacitor,0.003,0.98,0.279777,0.465214
Feedline,0.003,0.98,1.5694,0.963115
Mount,0.003,0.98,12.2567,2.0722
Inductor,0.005,0.98,1.3682,1.45159
Silicon,0.005,0.98,49.6786,2.35503
Capacitor,0.005,0.98,0.261246,0.465644
Feedline,0.005,0.98,1.42956,1.06018
Mount,0.005,0.98,7.25949,1.75513
Inductor,0.007,0.98,1.07999,0.908883
Silicon,0.007,0.98,52.929,2.01442
Capacitor,0.007,0.98,0.297443,0.509624
Feedline,0.007,0.98,0.887347,0.802864
Mount,0.007,0.98,4.80178,1.58572
Inductor,0.009,0.98,0.930494,1.04894
Silicon,0.009,0.98,54.7522,1.5679
Capacitor,0.009,0.98,0.200799,0.467893
Feedline,0.009,0.98,0.936205,0.972908
Mount,0.009,0.98,3.17918,1.0571
Inductor,0.011,0.98,0.732133,0.770846
Silicon,0.011,0.98,55.3866,1.64032
Capacitor,0.011,0.98,0.213458,0.393847
Feedline,0.011,0.98,1.06068,0.997037
Mount,0.011,0.98,2.60483,1.00844
Inductor,0.001,1,1.29185,1.12607
Silicon,0.001,1,28.6976,2.37478
Capacitor,0.001,1,0.349005,0.417466
Feedline,0.001,1,2.00595,1.02426
Mount,0.001,1,27.6476,2.09161
Inductor,0.003,1,0.799618,0.915119
Silicon,0.003,1,44.8358,2.14351
Capacitor,0.003,1,0.179106,0.324076
Feedline,0.003,1,1.46227,0.818432
Mount,0.003,1,12.7219,1.96097
Inductor,0.005,1,0.958187,0.837182
Silicon,0.005,1,50.6144,1.88414
Capacitor,0.005,1,0.277088,0.405157
Feedline,0.005,1,1.08891,0.831576
Mount,0.005,1,7.05595,1.65783
Inductor,0.007,1,0.991831,1.03448
Silicon,0.007,1,53.0524,1.84552
Capacitor,0.007,1,0.129986,0.277648
Feedline,0.007,1,1.21334,0.973015
Mount,0.007,1,4.61019,1.37
Inductor,0.009,1,0.838495,0.860529
Silicon,0.009,1,54.7765,1.81695
Capacitor,0.009,1,0.184139,0.408519
Feedline,0.009,1,0.846736,0.806569
Mount,0.009,1,3.3505,1.25135
Inductor,0.011,1,0.671073,0.770789
Silicon,0.011,1,55.6833,1.40273
Capacitor,0.011,1,0.19017,0.34205
Feedline,0.011,1,0.89299,0.85353
Mount,0.011,1,2.55895,0.997173
